Symbol	Description	Score	Functions	Links
NCOA4		0.9244033910197602	intracellular receptor signaling pathway, intracellular steroid hormone receptor signaling pathway, response to estrogen, steroid hormone mediated signaling pathway	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8031
ATM		0.8302899395538047	aging, cell aging, cell cycle checkpoint, cell cycle G2/M phase transition, chromosomal region, chromosome, telomeric region, DNA damage checkpoint, DNA integrity checkpoint, DNA recombination, double-strand break repair, G2 DNA damage checkpoint, G2/M transition of mitotic cell cycle, homologous recombination, meiosis I, meiosis I cell cycle process, mitotic cell cycle checkpoint, mitotic DNA damage checkpoint, mitotic DNA integrity checkpoint, mitotic G2/M transition checkpoint, mitotic nuclear division, negative regulation of cell cycle G2/M phase transition, negative regulation of cell cycle phase transition, negative regulation of DNA metabolic process, negative regulation of G2/M transition of mitotic cell cycle, negative regulation of mitotic cell cycle, negative regulation of mitotic cell cycle phase transition, non-recombinational repair, positive regulation of DNA metabolic process, protein autophosphorylation, protein serine/threonine kinase activity, reciprocal homologous recombination, regulation of cell cycle G2/M phase transition, regulation of G2/M transition of mitotic cell cycle, regulation of response to DNA damage stimulus, regulation of telomere maintenance, RNA-dependent DNA biosynthetic process, signal transduction by p53 class mediator, signal transduction in response to DNA damage, signal transduction involved in cell cycle checkpoint, signal transduction involved in DNA damage checkpoint, signal transduction involved in DNA integrity checkpoint, telomere capping, telomere maintenance, telomere maintenance via telomere lengthening, telomere organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=472
CHEK2		0.002494929901951992	aging, cell aging, cell cycle checkpoint, cell cycle G2/M phase transition, chromosomal region, DNA damage checkpoint, DNA integrity checkpoint, mitotic cell cycle checkpoint, mitotic DNA damage checkpoint, mitotic DNA integrity checkpoint, mitotic nuclear division, negative regulation of cell cycle phase transition, negative regulation of mitotic cell cycle, negative regulation of mitotic cell cycle phase transition, signal transduction by p53 class mediator, signal transduction in response to DNA damage, signal transduction involved in cell cycle checkpoint, signal transduction involved in DNA damage checkpoint, signal transduction involved in DNA integrity checkpoint	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=11200
TELO2		0.0023797604770084413	chromosomal region, chromosome, telomeric region, RNA-dependent DNA biosynthetic process, telomere maintenance, telomere maintenance via telomere lengthening, telomere organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9894
NBN		0.0016117929944312603	cell cycle checkpoint, cell cycle G2/M phase transition, chromosomal region, chromosome, telomeric region, DNA damage checkpoint, DNA integrity checkpoint, DNA recombination, double-strand break repair, G2 DNA damage checkpoint, G2/M transition of mitotic cell cycle, mitotic cell cycle checkpoint, mitotic DNA damage checkpoint, mitotic DNA integrity checkpoint, mitotic G2/M transition checkpoint, negative regulation of cell cycle G2/M phase transition, negative regulation of cell cycle phase transition, negative regulation of DNA metabolic process, negative regulation of G2/M transition of mitotic cell cycle, negative regulation of mitotic cell cycle, negative regulation of mitotic cell cycle phase transition, non-recombinational repair, positive regulation of DNA metabolic process, protein autophosphorylation, recombinational repair, regulation of cell cycle G2/M phase transition, regulation of G2/M transition of mitotic cell cycle, regulation of protein autophosphorylation, regulation of telomere maintenance, signal transduction by p53 class mediator, signal transduction in response to DNA damage, site of DNA damage, telomere capping, telomere maintenance, telomere organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4683
MDC1		0.0015961130989271544	cell cycle checkpoint, DNA damage checkpoint, DNA integrity checkpoint, double-strand break repair, mitotic cell cycle checkpoint, mitotic DNA damage checkpoint, mitotic DNA integrity checkpoint, negative regulation of mitotic cell cycle, non-recombinational repair	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9656
SETD2		0.0015087041576594684	DNA recombination, double-strand break repair, double-strand break repair via homologous recombination, recombinational repair, regulation of DNA recombination, regulation of DNA repair, regulation of double-strand break repair, regulation of response to DNA damage stimulus	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=29072
AR		0.0014345823225606624	intracellular receptor signaling pathway, intracellular steroid hormone receptor signaling pathway, response to estrogen, steroid hormone mediated signaling pathway	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=367
COP1		0.0013992012929195385		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=64326
AP1B1		0.0013917668611087564		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=162
RXRA		0.0013912990800776237	intracellular receptor signaling pathway	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6256
PRKCA		0.0012733170359216506	histone kinase activity, mitotic nuclear division, protein serine/threonine kinase activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5578
H2AX		0.001221494033023851	cell cycle checkpoint, chromosomal region, DNA integrity checkpoint, double-strand break repair, non-recombinational repair, positive regulation of DNA metabolic process, regulation of DNA repair, regulation of response to DNA damage stimulus, site of DNA damage	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=3014
MLH1		0.0012081182598490114		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4292
MLH3		0.0012011856271406662	DNA recombination, homologous recombination, meiosis I, meiosis I cell cycle process, reciprocal homologous recombination	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=27030
