Group	Name	Weight	Reference	PubMed	Source	Note
Physical Interactions	Wang-Huang-2017	0.04410105690704964	Molecular Details Underlying Dynamic Structures and Regulation of the Human 26S Proteasome. Wang et al. (2017). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/28292943		
Physical Interactions	von Hundelshausen-Weber-2017	0.023291241018680554	Chemokine interactome mapping enables tailored intervention in acute and chronic inflammation. von Hundelshausen et al. (2017). Sci Transl Med	http://www.ncbi.nlm.nih.gov/pubmed/28381538		
Physical Interactions	McFarland-Nussbaum-2008	0.022064451501423304	Proteomics analysis identifies phosphorylation-dependent alpha-synuclein protein interactions. McFarland et al. (2008). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/18614564		
Physical Interactions	Guardia-Laguarta-Przedborski-2019	0.016584909513977304	PINK1 Content in Mitochondria is Regulated by ER-Associated Degradation. Guardia-Laguarta et al. (2019). J Neurosci	http://www.ncbi.nlm.nih.gov/pubmed/31300519		
Physical Interactions	Maréchal-Zou-2014	0.01457560594540668	PRP19 transforms into a sensor of RPA-ssDNA after DNA damage and drives ATR activation via a ubiquitin-mediated circuitry. Maréchal et al. (2014). Mol Cell	http://www.ncbi.nlm.nih.gov/pubmed/24332808		
Physical Interactions	Singh-Moore-2012	0.014021089402822507	The cellular EJC interactome reveals higher-order mRNP structure and an EJC-SR protein nexus. Singh et al. (2012). Cell	http://www.ncbi.nlm.nih.gov/pubmed/23084401		
Physical Interactions	Whisenant-Salomon-2015	0.013940364092497194	The Activation-Induced Assembly of an RNA/Protein Interactome Centered on the Splicing Factor U2AF2 Regulates Gene Expression in Human CD4 T Cells. Whisenant et al. (2015). PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/26641092		
Physical Interactions	Tsai-Cristea-2012	0.012994635980702758	Functional proteomics establishes the interaction of SIRT7 with chromatin remodeling complexes and expands its role in regulation of RNA polymerase I transcription. Tsai et al. (2012). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/22586326		
Physical Interactions	Kneissl-Grummt-2003	0.01261318200416618	Interaction and assembly of murine pre-replicative complex proteins in yeast and mouse cells. Kneissl et al. (2003). J Mol Biol	http://www.ncbi.nlm.nih.gov/pubmed/12614612		
Physical Interactions	Zhang-Vermeulen-2017	0.011976130963803384	An Interaction Landscape of Ubiquitin Signaling. Zhang et al. (2017). Mol Cell	http://www.ncbi.nlm.nih.gov/pubmed/28190767		
Physical Interactions	Narayan-Bennett-2012	0.01156808380921508	Short-chain 3-hydroxyacyl-coenzyme A dehydrogenase associates with a protein super-complex integrating multiple metabolic pathways. Narayan et al. (2012). PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/22496890		
Physical Interactions	Li-Fu-2017	0.011282472612016998	The OncoPPi network of cancer-focused protein-protein interactions to inform biological insights and therapeutic strategies. Li et al. (2017). Nat Commun	http://www.ncbi.nlm.nih.gov/pubmed/28205554		
Physical Interactions	Li-Hung-2019	0.01091816859435686	MET Inhibitors Promote Liver Tumor Evasion of the Immune Response by Stabilizing PDL1. Li et al. (2019). Gastroenterology	http://www.ncbi.nlm.nih.gov/pubmed/30711629		
Physical Interactions	Richter-Chrzanowska-Lightowlers-2010	0.01071781885483759	A functional peptidyl-tRNA hydrolase, ICT1, has been recruited into the human mitochondrial ribosome. Richter et al. (2010). EMBO J	http://www.ncbi.nlm.nih.gov/pubmed/20186120		
Physical Interactions	Ertych-Bastians-2016	0.01071573814982219	CHK2-BRCA1 tumor-suppressor axis restrains oncogenic Aurora-A kinase to ensure proper mitotic microtubule assembly. Ertych et al. (2016). Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/26831064		
Physical Interactions	Yu-Chow-2013	0.010105592677537963	VCP phosphorylation-dependent interaction partners prevent apoptosis in Helicobacter pylori-infected gastric epithelial cells. Yu et al. (2013). PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/23383273		
Physical Interactions	Lee-Jou-2019	0.009818350569890196	Parkinson's disease-associated LRRK2-G2019S mutant acts through regulation of SERCA activity to control ER stress in astrocytes. Lee et al. (2019). Acta Neuropathol Commun	http://www.ncbi.nlm.nih.gov/pubmed/31046837		
Physical Interactions	Colicelli-2010	0.0094665059929124	ABL tyrosine kinases: evolution of function, regulation, and specificity. Colicelli. (2010). Sci Signal	http://www.ncbi.nlm.nih.gov/pubmed/20841568		
Physical Interactions	Matsumoto-Nakayama-2005	0.00944007465307693	Large-scale analysis of the human ubiquitin-related proteome. Matsumoto et al. (2005). Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/16196087		
Physical Interactions	Kotlyar-Jurisica-2015	0.009396090876950232	In silico prediction of physical protein interactions and characterization of interactome orphans. Kotlyar et al. (2015). Nat Methods	http://www.ncbi.nlm.nih.gov/pubmed/25402006		
Physical Interactions	Petschnigg-Stagljar-2014	0.00924305118778587	The mammalian-membrane two-hybrid assay (MaMTH) for probing membrane-protein interactions in human cells. Petschnigg et al. (2014). Nat Methods	http://www.ncbi.nlm.nih.gov/pubmed/24658140		
Physical Interactions	Guarani-Harper-2014	0.008862266493429076	TIMMDC1/C3orf1 functions as a membrane-embedded mitochondrial complex I assembly factor through association with the MCIA complex. Guarani et al. (2014). Mol Cell Biol	http://www.ncbi.nlm.nih.gov/pubmed/24344204		
Physical Interactions	Lu-Zhang-2013	0.008062927226197867	The HECT type ubiquitin ligase NEDL2 is degraded by anaphase-promoting complex/cyclosome (APC/C)-Cdh1, and its tight regulation maintains the metaphase to anaphase transition. Lu et al. (2013). J Biol Chem	http://www.ncbi.nlm.nih.gov/pubmed/24163370		
Physical Interactions	Berggård-James-2006	0.007796108695037231	140 mouse brain proteins identified by Ca2+-calmodulin affinity chromatography and tandem mass spectrometry. Berggård et al. (2006). J Proteome Res	http://www.ncbi.nlm.nih.gov/pubmed/16512683		
Physical Interactions	Kupka-Walczak-2016	0.007541757821261177	SPATA2-Mediated Binding of CYLD to HOIP Enables CYLD Recruitment to Signaling Complexes. Kupka et al. (2016). Cell Rep	http://www.ncbi.nlm.nih.gov/pubmed/27545878		
Physical Interactions	Freibaum-Taylor-2010	0.0072257963762583696	Global analysis of TDP-43 interacting proteins reveals strong association with RNA splicing and translation machinery. Freibaum et al. (2010). J Proteome Res	http://www.ncbi.nlm.nih.gov/pubmed/20020773		
Physical Interactions	Perez-Perri-Espinosa-2016	0.006481752657055868	The TIP60 Complex Is a Conserved Coactivator of HIF1A. Perez-Perri et al. (2016). Cell Rep	http://www.ncbi.nlm.nih.gov/pubmed/27320910		
Physical Interactions	Jirawatnotai-Sicinski-2011	0.006479303767110262	A function for cyclin D1 in DNA repair uncovered by protein interactome analyses in human cancers. Jirawatnotai et al. (2011). Nature	http://www.ncbi.nlm.nih.gov/pubmed/21654808		
Physical Interactions	Kırlı-Görlich-2015	0.006453714960457483	A deep proteomics perspective on CRM1-mediated nuclear export and nucleocytoplasmic partitioning. Kırlı et al. (2015). Elife	http://www.ncbi.nlm.nih.gov/pubmed/26673895		
Physical Interactions	Leung-Jones-2014	0.006214643821682107	Enhanced prediction of Src homology 2 (SH2) domain binding potentials using a fluorescence polarization-derived c-Met, c-Kit, ErbB, and androgen receptor interactome. Leung et al. (2014). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/24728074		
Physical Interactions	Yatim-Benkirane-2012	0.006010749207171721	NOTCH1 nuclear interactome reveals key regulators of its transcriptional activity and oncogenic function. Yatim et al. (2012). Mol Cell	http://www.ncbi.nlm.nih.gov/pubmed/23022380		
Physical Interactions	Mak-Moffat-2010	0.005998297013252093	A lentiviral functional proteomics approach identifies chromatin remodeling complexes important for the induction of pluripotency. Mak et al. (2010). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/20305087		
Physical Interactions	Chen-Ge-2013 B	0.005950922999480551	Bcl2-associated athanogene 3 interactome analysis reveals a new role in modulating proteasome activity. Chen et al. (2013). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/23824909		
Physical Interactions	Zanon-Pichler-2013	0.005913713758799309	Profiling of Parkin-binding partners using tandem affinity purification. Zanon et al. (2013). PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/24244333		
Physical Interactions	Raisner-Gascoigne-2018	0.005695913051257221	Enhancer Activity Requires CBP/P300 Bromodomain-Dependent Histone H3K27 Acetylation. Raisner et al. (2018). Cell Rep	http://www.ncbi.nlm.nih.gov/pubmed/30110629		
Physical Interactions	Jang-Trono-2018	0.005664559773459715	KAP1 facilitates reinstatement of heterochromatin after DNA replication. Jang et al. (2018). Nucleic Acids Res	http://www.ncbi.nlm.nih.gov/pubmed/29955894		
Physical Interactions	Ahn-Lee-2008	0.005571602294115217	The tumour suppressor PTEN mediates a negative regulation of the E3 ubiquitin-protein ligase Nedd4. Ahn et al. (2008). Biochem J	http://www.ncbi.nlm.nih.gov/pubmed/18307411		
Physical Interactions	IREF-reactome	0.005496862521878412				
Physical Interactions	Vastrik-Stein-2007	0.00549686250069131	Reactome: a knowledge base of biologic pathways and processes. Vastrik et al. (2007). Genome Biol	http://www.ncbi.nlm.nih.gov/pubmed/17367534		
Physical Interactions	Liu-Varjosalo-2018	0.005027044589406065	An AP-MS- and BioID-compatible MAC-tag enables comprehensive mapping of protein interactions and subcellular localizations. Liu et al. (2018). Nat Commun	http://www.ncbi.nlm.nih.gov/pubmed/29568061		
Physical Interactions	Wang-Liu-2019	0.00483557979983114	POH1 contributes to hyperactivation of TGF-β signaling and facilitates hepatocellular carcinoma metastasis through deubiquitinating TGF-β receptors and caveolin-1. Wang et al. (2019). EBioMedicine	http://www.ncbi.nlm.nih.gov/pubmed/30745168		
Physical Interactions	Murakawa-Landthaler-2015	0.004732130725644179	RC3H1 post-transcriptionally regulates A20 mRNA and modulates the activity of the IKK/NF-κB pathway. Murakawa et al. (2015). Nat Commun	http://www.ncbi.nlm.nih.gov/pubmed/26170170		
Physical Interactions	Elliott-Gyrd-Hansen-2016	0.004682860851719053	SPATA2 Links CYLD to LUBAC, Activates CYLD, and Controls LUBAC Signaling. Elliott et al. (2016). Mol Cell	http://www.ncbi.nlm.nih.gov/pubmed/27591049		
Physical Interactions	Lee-Choi-2016	0.004632685547404159	Interactomic analysis of REST/NRSF and implications of its functional links with the transcription suppressor TRIM28 during neuronal differentiation. Lee et al. (2016). Sci Rep	http://www.ncbi.nlm.nih.gov/pubmed/27976729		
Physical Interactions	Hüttenhain-Krogan-2019	0.004617962071603054	ARIH2 Is a Vif-Dependent Regulator of CUL5-Mediated APOBEC3G Degradation in HIV Infection. Hüttenhain et al. (2019). Cell Host Microbe	http://www.ncbi.nlm.nih.gov/pubmed/31253590		
Physical Interactions	IREF-bhf-ucl	0.004550712191118501				
Physical Interactions	Leung-Miller-2017	0.004532614159848886	ZMYM3 regulates BRCA1 localization at damaged chromatin to promote DNA repair. Leung et al. (2017). Genes Dev	http://www.ncbi.nlm.nih.gov/pubmed/28242625		
Physical Interactions	Scifo-Lalowski-2015	0.004508927950543937	Quantitative analysis of PPT1 interactome in human neuroblastoma cells. Scifo et al. (2015). Data Brief	http://www.ncbi.nlm.nih.gov/pubmed/26217791		
Physical Interactions	Koch-Hermeking-2007	0.004504716406731509	Large-scale identification of c-MYC-associated proteins using a combined TAP/MudPIT approach. Koch et al. (2007). Cell Cycle	http://www.ncbi.nlm.nih.gov/pubmed/17314511		
Physical Interactions	Chen-Zhang-2013	0.0042833341919894605	Quantitative study of the interactome of PKCζ involved in the EGF-induced tumor cell chemotaxis. Chen et al. (2013). J Proteome Res	http://www.ncbi.nlm.nih.gov/pubmed/23402259		
Physical Interactions	Neganova-Lako-2011	0.004208715433011082	An important role for CDK2 in G1 to S checkpoint activation and DNA damage response in human embryonic stem cells. Neganova et al. (2011). Stem Cells	http://www.ncbi.nlm.nih.gov/pubmed/21319273		
Physical Interactions	Taipale-Lindquist-2012	0.00419147569867273	Quantitative analysis of HSP90-client interactions reveals principles of substrate recognition. Taipale et al. (2012). Cell	http://www.ncbi.nlm.nih.gov/pubmed/22939624		
Physical Interactions	Heidelberger-Beli-2018	0.004091055846884014	Proteomic profiling of VCP substrates links VCP to K6-linked ubiquitylation and c-Myc function. Heidelberger et al. (2018). EMBO Rep	http://www.ncbi.nlm.nih.gov/pubmed/29467282		
Physical Interactions	Persaud-Rotin-2009 A	0.003932771878458174	Comparison of substrate specificity of the ubiquitin ligases Nedd4 and Nedd4-2 using proteome arrays. Persaud et al. (2009). Mol Syst Biol	http://www.ncbi.nlm.nih.gov/pubmed/19953087		
Physical Interactions	McNamara-D'Orso-2016	0.003811482226993958	KAP1 Recruitment of the 7SK snRNP Complex to Promoters Enables Transcription Elongation by RNA Polymerase II. McNamara et al. (2016). Mol Cell	http://www.ncbi.nlm.nih.gov/pubmed/26725010		
Physical Interactions	Xie-Cong-2013	0.003799547145682266	Deubiquitinase FAM/USP9X interacts with the E3 ubiquitin ligase SMURF1 protein and protects it from ligase activity-dependent self-degradation. Xie et al. (2013). J Biol Chem	http://www.ncbi.nlm.nih.gov/pubmed/23184937		
Physical Interactions	Zhou-Conrads-2004	0.0037805084321743303	"An investigation into the human serum ""interactome""." Zhou et al. (2004). Electrophoresis	http://www.ncbi.nlm.nih.gov/pubmed/15174051		
Physical Interactions	Alsulami-Cagney-2019	0.0034065669493769757	SETD1A Methyltransferase Is Physically and Functionally Linked to the DNA Damage Repair Protein RAD18. Alsulami et al. (2019). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/31076518		
Physical Interactions	Beyer-Boldt-2018	0.003379038948828783	CRISPR/Cas9-mediated Genomic Editing of Cluap1/IFT38 Reveals a New Role in Actin Arrangement. Beyer et al. (2018). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/29615496		
Physical Interactions	Fogeron-Lange-2013	0.0033751428351027238	LGALS3BP regulates centriole biogenesis and centrosome hypertrophy in cancer cells. Fogeron et al. (2013). Nat Commun	http://www.ncbi.nlm.nih.gov/pubmed/23443559		
Physical Interactions	Phillips-Corn-2013	0.0033216486243351313	Conformational dynamics control ubiquitin-deubiquitinase interactions and influence in vivo signaling. Phillips et al. (2013). Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/23801757		
Physical Interactions	IREF-hpidb	0.00330862589963539				
Physical Interactions	Diner-Cristea-2015	0.003253062433700183	Interactions of the Antiviral Factor Interferon Gamma-Inducible Protein 16 (IFI16) Mediate Immune Signaling and Herpes Simplex Virus-1 Immunosuppression. Diner et al. (2015). Mol Cell Proteomics	http://www.ncbi.nlm.nih.gov/pubmed/25693804		
Physical Interactions	Malovannaya-Qin-2010	0.0032166384699981025	Streamlined analysis schema for high-throughput identification of endogenous protein complexes. Malovannaya et al. (2010). Proc Natl Acad Sci U S A	http://www.ncbi.nlm.nih.gov/pubmed/20133760		
Physical Interactions	Barr-Knapp-2009	0.0032152564679887624	Large-scale structural analysis of the classical human protein tyrosine phosphatome. Barr et al. (2009). Cell	http://www.ncbi.nlm.nih.gov/pubmed/19167335		
Physical Interactions	Faust-Frankel-2018	0.0031672580191819894	The HIV-1 Tat protein recruits a ubiquitin ligase to reorganize the 7SK snRNP for transcriptional activation. Faust et al. (2018). Elife	http://www.ncbi.nlm.nih.gov/pubmed/29845934		
Physical Interactions	Pladevall-Morera-Lopez-Contreras-2019	0.0031593084731305907	Proteomic characterization of chromosomal common fragile site (CFS)-associated proteins uncovers ATRX as a regulator of CFS stability. Pladevall-Morera et al. (2019). Nucleic Acids Res	http://www.ncbi.nlm.nih.gov/pubmed/31180492		
Physical Interactions	Fenner-Prehn-2010	0.003031949258294843	Expanding the substantial interactome of NEMO using protein microarrays. Fenner et al. (2010). PLoS One	http://www.ncbi.nlm.nih.gov/pubmed/20098747		
